point_id,gas,temperature_K,pressure_MPa,pressure_basis,salt,salt_molality,salt_composition,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,source_id,reference,method,flags,gas2,gas2_mole_fraction_feed,solubility_mole_fraction,solubility_mol_per_kgw,value_as_printed,unit_as_printed
C2H6_amirijafari1972_c2c4_052,C2H6,377.5944,27.68244935,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.001269,0.070529628,1.269,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_053,C2H6,377.5944,34.57720636,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,,,1.800,X1: mole fraction of hydrocarbon in water x 10^3
C2H6_amirijafari1972_c2c4_054,C2H6,377.5944,34.57720636,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,amirijafari1972_c2c4,Amirijafari & Campbell 1972,analytical_sampling,,,,0.001396,0.077598016,1.396,X2: mole fraction of hydrocarbon in water x 10^3
C2H6_chapoy2004_c2c4_001,C2H6,278.15,2.004,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,3.87e-05,0.0021482572,0.387,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_002,C2H6,283.14,0.987,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,1.72e-05,0.00095476045,0.172,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_003,C2H6,283.15,2.077,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,3.02e-05,0.0016764035,0.302,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_004,C2H6,283.14,3.413,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,4.28e-05,0.0023758601,0.428,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_005,C2H6,283.15,3.415,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,4.36e-05,0.0024202706,0.436,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_006,C2H6,288.16,1.038,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,1.72e-05,0.00095476045,0.172,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_007,C2H6,298.14,2.964,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,3.3e-05,0.0018318368,0.33,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_008,C2H6,298.14,7.257,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,5.62e-05,0.0031197459,0.562,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_009,C2H6,298.14,11.749,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,6.74e-05,0.0037415165,0.674,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_010,C2H6,298.14,14.407,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,6.72e-05,0.0037304134,0.672,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_011,C2H6,313.12,7.46,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,4.06e-05,0.0022537315,0.406,x2·10^4 mole fraction C2H6 (xexp)
C2H6_chapoy2004_c2c4_012,C2H6,313.12,12.624,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,chapoy2004_c2c4,"Chapoy, Mohammadi, Richon & Tohidi 2004",analytical_sampling,,,,5.86e-05,0.0032529813,0.586,x2·10^4 mole fraction C2H6 (xexp)
C2H6_tabasinejad2011_c2c4_001,C2H6,424.41,3.69,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.15,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_002,C2H6,424.41,7.32,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.077,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_003,C2H6,424.41,14.2,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.044,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_004,C2H6,424.41,21.76,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.033,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_005,C2H6,424.41,27.61,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.028,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_006,C2H6,424.41,34.6,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.025,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
